,ZIP_CODE,ZCTA,Population
15047,36547,36542,12705
15048,36543,36543,66
15049,36544,36544,12476
15050,36548,36548,1136
15051,36549,36549,4271
15052,36550,36550,217
15053,36551,36551,8258
15054,36553,36553,3575
15055,36555,36555,654
15056,36556,36556,308
15057,36558,36558,3854
15058,36559,36559,233
15059,36560,36560,3690
15060,36561,36561,5808
15061,36562,36562,1596
15062,36564,36564,107
15063,36567,36567,12672
15064,36568,36568,162
15065,36569,36569,928
15066,36571,36571,14423
15067,36572,36572,6340
15068,36574,36574,1341
15069,36575,36575,18345
15070,36576,36576,4143
15071,36578,36578,1749
15072,36579,36579,1590
15073,36580,36580,5420
15074,36581,36581,224
15075,36582,36582,24624
15076,36583,36583,639
15077,36584,36584,772
15078,36585,36585,972
15079,36587,36587,12053
15080,36590,36590,20
15081,36601,36602,1057
15082,36602,36602,1057
15083,36628,36602,1057
15084,36633,36602,1057
15085,36641,36602,1057
15086,36644,36602,1057
15087,36652,36602,1057
15088,36675,36602,1057
15089,36603,36603,7922
15090,36640,36603,7922
15091,36604,36604,10456
15092,36605,36605,30111
15093,36606,36606,18733
15094,36660,36606,18733
15095,36607,36607,6852
15096,36670,36607,6852
15097,36608,36608,36864
15098,36685,36608,36864
15099,36689,36608,36864
15100,36609,36609,25846
15101,36691,36609,25846
15102,36610,36610,13209
15103,36611,36611,6106
15104,36671,36611,6106
15105,36612,36612,4541
15106,36613,36613,12749
15107,36663,36613,12749
15108,36615,36615,391
15109,36616,36616,27
15110,36617,36617,13967
15111,36618,36618,16737
15112,36619,36619,14269
15113,36688,36688,659
15114,36693,36693,17847
15115,36695,36695,45118
15116,36701,36701,24268
15117,36702,36701,24268
15118,36703,36703,13643
15119,36720,36720,784
15120,36722,36722,472
15121,36723,36723,230
15122,36726,36726,4814
15123,36727,36727,61
15124,36728,36728,461
15125,36732,36732,8395
15126,36745,36732,8395
15127,36736,36736,1207
15128,36738,36738,952
15129,36740,36740,1328
15130,36741,36768,1096
15131,36768,36768,1096
15132,36742,36742,2554
15133,36744,36744,7419
15134,36748,36748,3260
15135,36749,36749,1089
15136,36750,36750,2901
15137,36751,36751,945
15138,36752,36752,1644
15139,36753,36753,85
15140,36754,36754,344
15141,36756,36756,6165
15142,36758,36758,1412
15143,36759,36759,1501
15144,36761,36761,1161
15145,36763,36763,139
15146,36764,36782,2405
15147,36782,36782,2405
15148,36765,36765,1294
15149,36766,36766,25
15150,36767,36767,2012
15151,36769,36769,3014
15152,36773,36773,512
15153,36775,36775,800
15154,36776,36776,1489
15155,36783,36783,945
15156,36784,36784,7754
15157,36785,36785,1165
15158,36786,36786,3365
15159,36790,36790,139
15160,36792,36792,1169
15161,36793,36793,568
15162,36801,36801,22214
15163,36802,36801,22214
15164,36803,36801,22214
15165,36804,36804,16861
15166,36830,36830,33201
15167,36831,36830,33201
15168,36832,36832,22071
15169,36849,36849,3150
15170,36850,36850,2630
15171,36851,36871,1277
15172,36871,36871,1277
15173,36852,36852,2129
15174,36853,36853,8269
15175,36854,36854,14576
15176,36872,36854,14576
15177,36855,36855,1551
15178,36856,36856,3719
15179,36858,36858,441
15180,36859,36859,34
15181,36860,36860,1580
15182,36861,36861,3264
15183,36862,36862,6623
15184,36863,36863,11672
15185,36865,36865,23
